Text,Answer,AI Prediction
"We were at the Hotel Allegro for an Industry Analyst event. I could not have expected worse. At first glance, you figured it couldn't be too bad as a Kimpton. The unfortunate issue - service and the people were excellent. However, the rooms just sucked. Imagine your normal hotel room and 1/3 that size. Cramp in a king size bed and add a bathroom that's also 1/3 the size. The building has that old hotel smell where things are musky but covered up with some paint smell. The bathroom has showers with modern fixtures but remind you of that nyc studio you rented with 5 other people out of college. The paints peeling on the base boards, the carpet is new, but something is wrong. I would stay at the Marriott, Renaissance, Westin, or any where else.",real,TRUE
"This hotel must have originally been an ordinary downtown hotel in a not very nice neighborhood. The owners have painted it over and fixed up the lobby to make it an ""upscale"" overpriced boutique hotel. But it's still just an ordinary hotel with a paint job. Stay here if you want to experience staying in a flophouse, but with all the sleaze removed. Definitely stay at the chain's other location, the Burnham, for a much, much nicer hotel.",real,FALSE
Used this hotel the first time I was in Chicago. For the prices and for being classified an intercontinental...I wouldn't consider it that good. The rooms were solid. The view was ok (but so is it virtually everywhere else on Michigan Ave.) The service was ok. The prices were ridiculous for everything from wifi to well everything else. We came here for a Jewish/Hindi wedding. Appetizer was fine. Main entree was a small portion of meat with forgettable everything else. Dessert was inedible. I have been to some other expensive hotels with similar ratings but they had more or just better rooms to an extent that it would be worth it. I personally preferred the Conrad. Better prices and better service.,real,attn
"We stayed in the Amalfi in July 2010, 4th of July weekend. I was very apprehensive about leaving my Diesel Ford Excursion with the valet at Amalfi. It has a few modifications to the engine and can be damaged if not operated correctly. I explained the procedure to the valet drivers, and felt like it was a complete waste of time. When the vehicle was returned to me the valet driver did not let it idle down and cool the turbo off as I had instructed. When I tried to start it, it wasn't happy, but did finally start. I was so relieved to get it back I just wanted to leave. Driving away I noticed that the top speed recorded on the GPS was 105mph!!! (previous top speed was 95mph, done a few days earlier driving across South Dakota). I could just picture the flying Ferrari scene in Ferris Bueller's Day Off. I couldn't imagine where in the crowded Chicago traffic they found a place to go that fast, though it wouldn't take long to make that happen (see reference to modified engine above). A little while later we stopped for lunch and I noticed a dent in the front bumper. I contacted the hotel and was referred to their claims people. No remedy. Lesson learned. Brett",real,attn
"I usually stay at the Hotel Monaco but stayed at the Allegro because most the Monaco was booked. While the Allegro is similar to the Monaco in it's decor (less traditional and more funky interior) it is not nearly as nice. The linens are not as high quality as the Monaco and the rooms are not decorated as nice. The rooms are also smaller. The main reason I would not recommend the hotel though, is the bathroom. It has an old tiled floor, with an old sink, and old toilet. It reminds me of something you would find in a men's locker room. Although the Allegro has installed a nice mirror, it does not make up for the limited counter space and dingy apperance. Also, the layout of the bathroom is terrible. The toilet is so close to the wall that the toilet paper sits in your lap as you sit on the toilet. Also, the room is not very clean as well. The floor in my room was dirty and I found crumbs in the drawers. I would recommend staying at the Monaco, Hard Rock, or Soffitel for a hotel that is a little less traditional but still nice.",real,FALSE
"My stay at the Amalfi was a very brief one. I booked the hotel based on all of the glowing reviews I saw here on Trip Advisor. When I arrived, I sat down at a desk with an amazingly aloof clerk. I felt like I stepped into an episode of the Twilight Zone. The room was very small and dark. Then the Internet wasn't working. I wasn't informed about this on my check in and couldn't be given a time frame when it would be back up. I walked the neighborhood and found another hotel more to my liking, gathered up my belongings and went there. If you're one of those people who likes trendy upscale and chi chi locations and hotels, you'll lurve this place. But if you like a hotel with lights on, working internet and a good view and real breakfast, go someplace else.",real,TRUE
"I stayed in this hotel for 5 days in November together with my colleagues. Internet only wired available for 20 additional dollars a day. No fridge or microwave included in the price. Our room had two too soft full size beds. In the hall way the wallpaper had come off the wall. Who doesnt believe it, check out the 16th floor close to room 212. With discount we paid more than 300 dollars a night which is ridiculous. I stayed in the Hyatt Regency before for much cheaper and that was way better. The restaurant in the main hall is very nice and the food is tasty, but although being almost the only customer it took forever that the food got served. please stay away and take one of the plenty alternatives nearby.",real,FALSE
"Arrived at 1:30am only to find that sleep was not in my future because of the dance club connected to the hotel. If you party and stay out all night anyway, this hotel would be fine. But don't plan to get any rest if the club is open! Front desk lady was extremely rude to people calling in to inquire about the hotel while I was checking in. She was fine with me and gave me a corner room, but sure wouldn't want to be on her bad side.",real,TRUE
"The room itself was fine and comfortable(very peaceful), but the customer service by the so-called, concierge or ""experience something or the others"" left much to be desired. First, I arrived and the doorman walked me to the desk. I was not greeted with the usual ""Hello, welcome to..."". Instead, I got, ""Your name? ID?"" No, ""hello"", no ""welcome to the Amalfi Hotel,"" just plain old poor customer service from the very beginning! That left a very bad taste in my mouth, but I decided to let it go and see how the rest of my stay was.",real,attn
"The pictures on this website sure are deceiving! In real life the Palmer House Hilton is not nearly as pretty as its made out to be! The cleaning staff was still there when we arrived at our room and they made us wait outside while they were still cleaning! Now, granted it was only 15 minutes and sometimes guests can be messy but I thought that was the only weird thing I would have to put up with on that trip. It wasn't! They charged us for a mini-bar fee when we don't even drink, no one told us that we would have to pay for liquor anyway! They also did not get our wake-up calls to us on time, so we missed our tour bus and almost a whole day of our trip. We had to spend $50 extra bucks on cab fees just so we could see the city in the way we'd planned! And then it wasn't as good because the tour guide wasn't there and we got lost! My husband lost the key to our room at one point on this trip and the desk gave him a hard time about getting a new one. It was terrible! I certainly won't be staying here again!",deceptive,FALSE
"I arrived at the hotel 15 minutes prior to check in time as they recommend. When I get there I noticed that there is a couple and two other people waiting in line to check in. Ten minutes later after standing there with my suitcase, the woman at the front desk informs us that their computers are down due to a recent update to the software. She told us to wait until the computers booted back up. I asked if I could drop my suitcase off at the room and she said no because they need to electronically activate the cards and with the computers down they couldn't activate the cards. Finally another 20 minutes later the computers were up and I finally got my room. Wheres the ""luxury"" in waiting 35 minutes for a room? They also need to change the name of the hotel because their service did not leave me ""allegro.""",deceptive,TRUE
"Problems started when I booked the InterContinental Chicago online at the hotel's site, and got a server error. Somehow I managed to get my reservation, and wish I had looked elsewhere on this great Chicago street, filled with plenty of other options. The server errors continued at check in and didn't let up. I was on a holiday weekend, but far too many others must have been pushy conventioneers, and I had trouble getting served. The hotel is enormous and doesn't give a sense of comfort. The health facilities are also just too big, so noisy and crowded. And Internet access was $18 a day, kind of surprising when I can go around the corner to a Starbucks! Next time, I'll pick a more intimate place nearby--without so many ""server errors"".",deceptive,TRUE
